,preis,kilometer,erstzulassung_monat,erstzulassung_jahr,leistung,mfk_monat,mfk_jahr,angebotsnummer,bewertung_durchschnitt,bewertung_gesamteindruck,bewertung_erreichbarkeit,bewertung_zuverlaessigkeit,bewertung_angebotsbeschreibung,bewertung_kauferlebnis,anzahl_bewertungen,prozentsatz_weiterempfehlungen,fahrzeughalter,gaenge,hubraum,kraftstoffverbrauch,co2_emissionen,tueren,sitzplaetze,garantie,marke_Volkswagen,modell_Golf VI,treibstoff_Autogas (LPG),treibstoff_Benzin,treibstoff_Diesel,treibstoff_Gas,treibstoff_Sonstige,anbieter_Gewerblicher Anbieter,anbieter_Privater Anbieter,karosserieform_Cabrio,karosserieform_Coupé,karosserieform_Kleinwagen,karosserieform_Kombi,karosserieform_Limousine,karosserieform_Sonstige,karosserieform_Van/Kleinbus,getriebe_Automatik,getriebe_Halbautomatik,getriebe_Schaltgetriebe,antriebsart_Allrad,antriebsart_Front,antriebsart_Heck
267,11879,59985.0,7.0,2010.0,90,,,265716902,4.0,4.0,4.5,4.0,5.0,1.0,2.0,100.0,2.0,,1390.0,63.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
271,11890,28538.0,3.0,2012.0,59,,,269512711,4.29,4.21,4.35,4.23,4.64,3.9,14.0,86.0,1.0,5.0,1390.0,64.0,149.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
273,11909,39650.0,3.0,2011.0,63,3.0,2016.0,269780069,4.03,4.14,4.42,4.0,4.0,3.4,7.0,71.0,1.0,,1197.0,55.0,129.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
274,11949,33457.0,12.0,2012.0,63,,,265848000,3.5,3.0,4.0,3.0,4.5,3.0,2.0,50.0,1.0,,1197.0,55.0,129.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
280,11989,87123.0,5.0,2010.0,77,,,267765846,3.5,3.0,4.0,3.0,4.5,3.0,2.0,50.0,1.0,,1598.0,47.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
283,11990,85593.0,1.0,2012.0,77,3.0,2017.0,269784789,4.14,4.15,4.22,4.11,4.31,3.85,19.0,84.0,1.0,,1598.0,41.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
290,12250,78947.0,8.0,2012.0,77,,,267612255,4.6,4.5,5.0,4.0,5.0,4.5,2.0,100.0,1.0,6.0,1197.0,1.0,,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
295,12380,51255.0,9.0,2012.0,77,,,270163807,4.29,4.27,4.35,4.3,4.38,4.11,66.0,91.0,2.0,6.0,1197.0,57.0,134.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
296,12389,108339.0,2.0,2010.0,103,,,265084925,4.56,4.41,4.66,4.58,4.58,4.55,12.0,92.0,1.0,,1968.0,48.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
297,12395,60000.0,6.0,2012.0,77,,,269703128,4.48,4.55,4.65,4.55,4.36,4.21,20.0,95.0,1.0,,1197.0,57.0,134.0,3.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
298,12400,24900.0,9.0,2012.0,63,,,263245552,3.8,4.0,4.0,4.0,4.0,3.0,2.0,100.0,1.0,,1197.0,55.0,129.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
299,12429,85500.0,2.0,2011.0,90,,,270355567,4.55,4.5,4.5,4.5,4.5,5.0,2.0,100.0,1.0,,1390.0,62.0,147.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
300,12424,125965.0,3.0,2012.0,77,2.0,2017.0,270377279,3.69,3.77,3.66,3.66,4.0,3.37,9.0,78.0,1.0,,1598.0,47.0,,,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
302,12430,106400.0,1.0,2012.0,77,,,270308990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1598.0,42.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
304,12440,59354.0,5.0,2009.0,118,,,270048175,4.27,4.24,4.41,4.42,4.16,4.06,25.0,88.0,,6.0,1390.0,63.0,145.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
